name,measure_type_id,id,description
Fixation des dunes,1,1,
Curage de la mare,1,2,
Mise en place de règles de gestion pour harmoniser entre les différents utilisateurs,2,3,
Doter les services compétents et les populations organisées en moyen de surveillance des forêts environnantes,4,4,
Développer,2,5,
Fourniture de clôture pour les agriculteurs afin de diminuer la pression sur les ressources ligneuses,2,6,
Le site d'Iriji a un potentiel touristique qu'il est important de développer,6,7,
Une unité de transformation des PFNL est encours de mise en pla,3,8,
Mettre en place une unité de production piscicole et former la population locale dans ce domaine. La mise en place d'étangs piscicole permettrait aux populations de Diaguili jusqu'à Ghabou d'en profiter.,6,9,
Mettre en place des activités de reboi,2,10,
Valorisation du riz sauvage à travers la formation des populations locales et la mise en place d'une unité de transformation.,3,11,
Appuyer la surveillance de la zone contre le braconnage et la coupe des arbres,4,12,
Mettre en place une activités d'enrich,2,13,
Fournir des clôtures aux agriculteurs qui sont autour de la mare afin d'éviter la coupe de bois,2,14,
Protéger la forêt se trouvant au Sud de la mare (entre la mare et le fleuve pour éviter la dégradation de la mare) voir la possibilité de la class,2,15,
Mise en place d'activités piscicole au bénéfice des populations car le niveau de l'eau a baissé dans la mare et ne permet pas une abondance du poisson. S'ajoute à cela la diminution du ruissèlement de l'eau provenant de Garfa et charriant,6,16,
surveillance accru,4,17,
protection des forêts par la surveillance,4,18,
Mise en place d'un mode de gestion.,2,19,
Appuyer la surveillance de la Mare pour la protection des forêts et la lutte contre le braconnage,4,20,
Appuyer les agriculteurs pour la clôture des supe,2,21,
•	Appui aux surveillants (Association des pécheurs de Mêye) pirogues pour lutter contre la pêche illicite (des bottes,2,22,
Gilet,2,23,
torches puissante,2,24,
chaussures de sécurités).,2,25,
•	Appuyer la régularisation de l'association des pécheurs à travers l,2,26,
Les arbres autour et à l'intérieur de la Mare doivent être entretenus et le bois obtenu,2,27,
exploité.,2,28,
Appuyer les pêcheurs en pirogues supplémentaires,2,29,
Frigidaire solaire,2,30,
bottes,2,31,
filets et gilets.  Les matériels à fournir doivent être validé,2,32,
•	Appuyer la surveillance des forêts,4,33,
•	Appuyer les agriculteurs à travers l'aménagement d'une zone agricole et la fourniture de matériel d'irrigation.,2,34,
•	Approfondissement de la zone de reproduction du poisson qui se trouve au sud de Dé,2,35,
•	Les populations proposent de déplacer les hippopotames ou de les éliminer car ils out tuer une personne et baissés un enfant à Gani et un autre pécheur à Gouweylitt.  Ces animaux constituent une grande menace pour les pêcheurs et rend leurs ac,2,36,
•	Réaliser une formation en pêche et fournir un appui matériel,3,37,
pirogue (motorisée),2,38,
filets,2,39,
hameçon,2,40,
pour le séchage du poisson et frigidaire.,2,41,
•	Réaliser une formation en pisciculture et mise en place d'une unité de production piscicole.,3,42,
•	Formation sur la pêche et appui en matériel de pêche.,3,43,
•	Appui en pirogue traditionnelle et Frigidaire.,2,44,
•	Besoin de clôture et matériel pour l'agriculture,2,45,
semence et matériel traction animale.,2,46,
•	Appui en clôture et matériels agricoles et intrants pour l'agriculture de décrue,2,47,
•	Appui en fourrage en période sèche,2,48,
•	Mener une sensibilisation contre la pollution du lac par les déchets.,3,49,
Formation sur la pêche et un appui en matériel,3,50,
transformation et la vente,3,51,
Frigo,2,52,
mise en place d'une unité de transformation,3,53,
zone de séchage,2,54,
Appuyer les agriculteurs qui sont organisés autour de 4 coopératives en produits de lutte contre le,2,55,
Installation d'un réseau d'eau potable pour la localité.,2,56,
Les eleveures sollicitent la culture fourragére.,2,57,
Founiture de clotures pour les agriculteutrs.,2,58,
Mettre en place des barrages pour les cultares d'arriere barrage.,2,59,
Appuyer les agriculte,2,60,
Appuyer la surveillance pour la lutte contre la carbonisation et le braconnage.,4,61,
Curage de la mare et des cours d'eau qui l'alimentent.,1,62,
Elimination du barrage (Digue) mis en place à l'Est et obstruant l'arriver de l'eau dans la mare.,2,63,
Mett,2,64,
Appuyer la surveillance contre la coupe et le braconnage,4,65,
Fournir du grillage pour les Agriculteurs et des intrants,2,66,
Installer des puits pastoraux,2,67,
Realiser des formations sur la pèche et la transformation des produits halieutiques.,3,68,
Appui en Matér,2,69,
Fournir un appui en cloture et intrants pour les agriculteurs,2,70,
Fournir du materiel de pompade pour l'irrigation,2,71,
Realiser une formation en péche et un appui en matériel de pêche.,3,72,
Mettre en place des moyens de prophylaxie (vaccin) parc de vaccina,2,73,
Fourniture de clotures pour les agriculteurs contre le betail et autre aléas,2,74,
Appuyer les agriculteurs en intrants et matériel en plus d'un encadrement technique.,2,75,
Dédié le côté nord de la zone humide à l'abreuvement du betail.,2,76,
Appuyer les,2,77,
Réaliser une cloture de toute la mare (soit 12Km) avec trois porte pour les animaux en y incluant les superficies agricoles.,2,78,
Curage des cours d'eau qui alimentent la mare,1,79,
Réaliser une fixation des dunes à l'ouest,1,80,
Réaliser une formation en pÃ,3,81,
Appuyer les agriculteurs en intrant,2,82,
Fournir des clotures aux agriculteurs,2,83,
Realiser une formation en pêche et fournir un appui materiel.,3,84,
Regler les problématiques de barrage qui empechent la mare de se remplir.,2,85,
Fournir un appui en materiel d'irr,2,86,
Realiser des cloture pour les agriculteurs pour éviter la coupe des arbres.,2,87,
Fournir des machines de pompage et irrigation.,2,88,
Fournir des intrants et semences améliorées.,2,89,
Fournir du petit matériel à traction animale,2,90,
Realiser une fixation des dun,1,91,
