site_id,measure_id,status,notes,data_source_id
1,1,Proposed,,1
1,2,Proposed,,1
1,3,Proposed,,1
1,4,Proposed,,1
1,5,Proposed,,1
2,6,Proposed,,1
2,7,Proposed,,1
2,8,Proposed,,1
3,9,Proposed,,1
3,10,Proposed,,1
4,11,Proposed,,1
4,12,Proposed,,1
4,13,Proposed,,1
5,14,Proposed,,1
5,15,Proposed,,1
6,16,Proposed,,1
7,17,Proposed,,1
7,18,Proposed,,1
7,19,Proposed,,1
7,20,Proposed,,1
7,21,Proposed,,1
8,22,Proposed,,1
8,23,Proposed,,1
8,24,Proposed,,1
8,25,Proposed,,1
8,26,Proposed,,1
9,27,Proposed,,1
9,28,Proposed,,1
9,29,Proposed,,1
9,30,Proposed,,1
9,31,Proposed,,1
9,32,Proposed,,1
10,33,Proposed,,1
10,34,Proposed,,1
10,35,Proposed,,1
11,36,Proposed,,1
12,37,Proposed,,1
12,38,Proposed,,1
12,39,Proposed,,1
12,40,Proposed,,1
12,41,Proposed,,1
12,42,Proposed,,1
13,43,Proposed,,1
13,44,Proposed,,1
13,45,Proposed,,1
13,46,Proposed,,1
14,47,Proposed,,1
14,48,Proposed,,1
14,49,Proposed,,1
15,50,Proposed,,1
15,51,Proposed,,1
15,52,Proposed,,1
15,53,Proposed,,1
15,54,Proposed,,1
15,55,Proposed,,1
16,56,Proposed,,1
16,57,Proposed,,1
16,58,Proposed,,1
16,59,Proposed,,1
16,60,Proposed,,1
17,61,Proposed,,1
17,62,Proposed,,1
17,63,Proposed,,1
17,64,Proposed,,1
18,65,Proposed,,1
18,66,Proposed,,1
18,67,Proposed,,1
18,68,Proposed,,1
18,69,Proposed,,1
19,70,Proposed,,1
19,71,Proposed,,1
19,72,Proposed,,1
19,73,Proposed,,1
20,74,Proposed,,1
20,75,Proposed,,1
20,76,Proposed,,1
20,77,Proposed,,1
21,78,Proposed,,1
21,79,Proposed,,1
21,80,Proposed,,1
21,81,Proposed,,1
22,82,Proposed,,1
22,83,Proposed,,1
22,84,Proposed,,1
22,85,Proposed,,1
22,86,Proposed,,1
23,87,Proposed,,1
23,88,Proposed,,1
23,89,Proposed,,1
23,90,Proposed,,1
23,91,Proposed,,1
