site_id,species_id,notes,data_source_id
1,1,,1
1,2,,1
1,3,,1
1,4,,1
1,5,,1
1,6,,1
1,7,,1
1,8,,1
1,9,,1
1,10,,1
1,11,,1
1,12,,1
1,13,,1
1,14,,1
1,15,,1
1,16,,1
1,17,,1
2,18,,1
2,19,,1
2,20,,1
2,2,,1
2,3,,1
2,4,,1
2,5,,1
2,6,,1
2,7,,1
2,8,,1
2,9,,1
2,21,,1
2,22,,1
2,23,,1
2,24,,1
3,20,,1
3,25,,1
3,26,,1
3,27,,1
3,28,,1
3,29,,1
3,30,,1
3,31,,1
3,32,,1
3,33,,1
3,34,,1
3,35,,1
3,36,,1
3,37,,1
3,38,,1
3,39,,1
3,40,,1
3,24,,1
3,41,,1
3,42,,1
3,43,,1
3,23,,1
3,44,,1
3,45,,1
4,46,,1
4,47,,1
4,48,,1
4,49,,1
4,50,,1
4,51,,1
4,52,,1
4,53,,1
4,54,,1
4,55,,1
4,56,,1
4,57,,1
4,58,,1
4,59,,1
4,60,,1
4,61,,1
4,6,,1
4,62,,1
4,63,,1
4,64,,1
4,65,,1
4,66,,1
4,67,,1
4,68,,1
4,69,,1
4,70,,1
4,71,,1
4,72,,1
4,73,,1
4,74,,1
4,75,,1
4,76,,1
4,77,,1
5,48,,1
5,78,,1
5,79,,1
5,49,,1
5,50,,1
5,51,,1
5,52,,1
5,53,,1
5,54,,1
5,55,,1
5,56,,1
5,57,,1
5,58,,1
5,59,,1
5,60,,1
5,61,,1
5,80,,1
5,81,,1
5,82,,1
5,83,,1
5,84,,1
5,85,,1
5,86,,1
5,87,,1
5,67,,1
5,88,,1
5,89,,1
5,68,,1
5,90,,1
5,91,,1
6,92,,1
6,49,,1
6,50,,1
6,51,,1
6,52,,1
6,53,,1
6,54,,1
6,55,,1
6,56,,1
6,57,,1
6,58,,1
6,59,,1
6,60,,1
6,61,,1
6,93,,1
6,94,,1
6,95,,1
6,96,,1
6,97,,1
6,98,,1
6,65,,1
6,99,,1
6,100,,1
6,101,,1
6,102,,1
6,103,,1
6,104,,1
6,105,,1
6,106,,1
6,67,,1
6,72,,1
6,71,,1
6,107,,1
6,68,,1
6,108,,1
6,73,,1
6,109,,1
7,110,,1
7,49,,1
7,50,,1
7,51,,1
7,52,,1
7,53,,1
7,54,,1
7,55,,1
7,56,,1
7,57,,1
7,58,,1
7,59,,1
7,60,,1
7,6,,1
7,111,,1
7,112,,1
7,113,,1
7,114,,1
7,62,,1
7,34,,1
7,115,,1
7,116,,1
7,117,,1
7,118,,1
7,98,,1
7,65,,1
7,99,,1
7,100,,1
7,101,,1
7,102,,1
7,103,,1
7,104,,1
7,105,,1
7,106,,1
7,119,,1
7,120,,1
7,121,,1
7,122,,1
7,123,,1
7,124,,1
7,125,,1
7,126,,1
8,48,,1
8,127,,1
8,28,,1
8,128,,1
8,129,,1
8,130,,1
8,131,,1
8,50,,1
8,51,,1
8,132,,1
8,60,,1
8,133,,1
8,134,,1
8,135,,1
8,136,,1
8,137,,1
8,138,,1
8,139,,1
8,140,,1
8,115,,1
8,116,,1
8,113,,1
8,114,,1
8,141,,1
8,142,,1
8,143,,1
8,104,,1
8,105,,1
8,144,,1
8,145,,1
8,146,,1
8,147,,1
8,148,,1
8,149,,1
8,65,,1
8,150,,1
8,120,,1
8,151,,1
8,152,,1
8,119,,1
8,153,,1
8,124,,1
8,121,,1
8,89,,1
9,48,,1
9,128,,1
9,129,,1
9,130,,1
9,131,,1
9,50,,1
9,51,,1
9,132,,1
9,60,,1
9,133,,1
9,134,,1
9,135,,1
