site_id,threat_id,intensity,notes,data_source_id
1,1,,,1
1,2,,,1
1,3,,,1
1,4,,,1
1,5,,,1
1,6,,,1
1,7,,,1
1,8,,,1
1,9,,,1
1,10,,,1
1,11,,,1
1,12,,,1
1,13,,,1
1,14,,,1
1,15,,,1
1,16,,,1
1,17,,,1
1,18,,,1
1,19,,,1
2,1,,,1
2,2,,,1
2,3,,,1
2,4,,,1
2,5,,,1
2,6,,,1
2,7,,,1
2,8,,,1
2,9,,,1
2,10,,,1
2,11,,,1
2,12,,,1
2,20,,,1
2,14,,,1
2,15,,,1
2,16,,,1
2,17,,,1
2,18,,,1
2,21,,,1
3,1,,,1
3,2,,,1
3,3,,,1
3,4,,,1
3,5,,,1
3,6,,,1
3,7,,,1
3,8,,,1
3,9,,,1
3,10,,,1
3,11,,,1
3,12,,,1
3,22,,,1
3,14,,,1
3,15,,,1
3,16,,,1
3,17,,,1
3,18,,,1
3,23,,,1
4,1,,,1
4,2,,,1
4,3,,,1
4,4,,,1
4,5,,,1
4,6,,,1
4,7,,,1
4,8,,,1
4,9,,,1
4,10,,,1
4,11,,,1
4,12,,,1
4,24,,,1
4,14,,,1
4,15,,,1
4,16,,,1
4,17,,,1
4,18,,,1
4,25,,,1
5,1,,,1
5,2,,,1
5,3,,,1
5,4,,,1
5,5,,,1
5,6,,,1
5,7,,,1
5,8,,,1
5,9,,,1
5,10,,,1
5,11,,,1
5,12,,,1
5,26,,,1
5,14,,,1
5,15,,,1
5,16,,,1
5,17,,,1
5,18,,,1
5,27,,,1
6,1,,,1
6,2,,,1
6,3,,,1
6,4,,,1
6,5,,,1
6,6,,,1
6,7,,,1
6,8,,,1
6,9,,,1
6,10,,,1
6,11,,,1
6,12,,,1
6,28,,,1
6,14,,,1
6,15,,,1
6,16,,,1
6,17,,,1
6,18,,,1
6,29,,,1
7,1,,,1
7,2,,,1
7,30,,,1
7,31,,,1
7,32,,,1
7,7,,,1
7,8,,,1
7,9,,,1
7,10,,,1
7,11,,,1
7,12,,,1
7,33,,,1
7,14,,,1
7,15,,,1
7,16,,,1
7,17,,,1
7,18,,,1
7,34,,,1
7,35,,,1
8,1,,,1
8,2,,,1
8,30,,,1
8,31,,,1
8,32,,,1
8,7,,,1
8,8,,,1
8,9,,,1
8,10,,,1
8,11,,,1
8,12,,,1
8,36,,,1
8,37,,,1
8,14,,,1
8,38,,,1
8,17,,,1
8,39,,,1
8,40,,,1
8,41,,,1
9,1,,,1
9,2,,,1
9,30,,,1
9,31,,,1
9,32,,,1
9,7,,,1
9,8,,,1
9,9,,,1
9,10,,,1
9,11,,,1
9,12,,,1
9,36,,,1
9,42,,,1
9,14,,,1
9,15,,,1
9,16,,,1
9,17,,,1
9,43,,,1
9,44,,,1
9,45,,,1
9,46,,,1
10,1,,,1
10,2,,,1
10,30,,,1
10,31,,,1
10,32,,,1
10,7,,,1
10,8,,,1
10,9,,,1
10,10,,,1
10,11,,,1
10,12,,,1
10,36,,,1
10,47,,,1
10,14,,,1
10,15,,,1
10,16,,,1
10,17,,,1
10,43,,,1
10,48,,,1
11,1,,,1
11,2,,,1
11,30,,,1
11,31,,,1
11,32,,,1
11,7,,,1
11,8,,,1
11,9,,,1
11,10,,,1
11,11,,,1
11,12,,,1
11,24,,,1
11,49,,,1
11,14,,,1
11,15,,,1
11,16,,,1
11,17,,,1
11,50,,,1
11,51,,,1
11,52,,,1
12,1,,,1
12,2,,,1
12,30,,,1
12,31,,,1
12,32,,,1
12,7,,,1
12,8,,,1
12,9,,,1
12,10,,,1
12,11,,,1
