scientific_name,common_name_fr,common_name_local,taxonomic_group_id,id,iucn_status,national_status,description,notes,created_at,updated_at
Telbe,Nénuphar Nymphaea lotus et Cyperus,,1,1,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
souvent des oiseaux bagués,Canard – Héron garde boeuf – Reukh Ciconia ciconia,,2,2,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
en voie de disparition à cause des nemadis qui chassent ces derniers,Phacochères,,3,3,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Erythrocebus patas,le singe rouge et vervet (Cercopithecus aethiops) en voie de disparition,,3,4,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
,python sebae,,3,5,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Canis aureus,,,3,6,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Hyaena hyaena,,,3,7,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
,fennec Vulpes zerda,,3,8,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Vulpes pa,,,3,9,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Les principales,espèces poissons sont Clarias anguillaris et Lates niloticus,,4,10,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
AN++++,Acacia nilotica,,1,11,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
ZM+++,Ziziphus mauritiana Combretum glutinosum (CG),,1,12,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
SB-,Sclerocarya birrea,,1,13,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
BA++,Balanites Aegyptiaca,,1,14,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
AS,Acacia Senegal,,1,15,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
PR-+,Piliostigma reticulatum,,1,16,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
LP,Leptadenia pyrotechnica,,1,17,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Lawsonia inermis,,,1,18,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
,cyperus,,1,19,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Telbe,Nénuphar Nymphaea lotus,,1,20,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Tilapia,de petites tailles soit Oreochromis niloticus et Clarias anguillaris.,,4,21,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
HT++++,Hyphaene tebeica,,1,22,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
,BALANITES AEGYPTIACA,,1,23,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
,ZIZIPHUS MAURITIANA,,1,24,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Ipomoea aquatica,,,1,25,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Tribulus terrestris,,,1,26,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Tephrosia purpurea,,,1,27,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Panicum laetum,,,1,28,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
,Canard,,2,29,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
,Hérons en période hivernale,,2,30,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
,Chacal,,3,31,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
,Hyénes quelques observation,,3,32,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
,Phaccochéres disparus depuis 1989,,3,33,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Mellivora capensis,,,3,34,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Erythrocebus patas,le singe rouge et vervet (Cercopithecus aethiops),,3,35,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Porc et,pic,,3,36,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
,Herisson,,3,37,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
Croccodile disparu,,,3,38,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
,Python.,,3,39,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
,Type Clarias anguillaris.,,4,40,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
,PILIOSTIGMA RETICULATUM,,1,41,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
,ACACIA NILOTICA,,1,42,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
MI,Mitragina inermis,,1,43,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
AD,Adansonia digitata,,1,44,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
BR,Bauhinia rufescence,,1,45,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
,Présence de graminées plus particulièrement le riz sauvage qui s'y trouve en abondance,,1,46,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
,Cypérus,,1,47,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
,Nénuphar,,1,48,,,,,2025-06-04 14:29:44.827869+00:00,2025-06-04 14:29:44.828240+00:00
