id,name,code,region,commune,area_hectares,designation_date,ramsar_criteria_met,description_ecological,description_physical,hydrology_summary,climate_summary,land_use_current,land_use_adjacent,social_cultural_values,conservation_measures_taken,conservation_measures_proposed,threats_anthropogenic,threats_natural,contacts,geometry,data_source_id,created_at,updated_at
1,Khathre,,Guidimakha,Tektak,,,,,,Juillet à Mai,,La pêche est réalisée au niveau de Khathre principalement à partir du mois de Mai jusqu'à tarissement de la Mare. Les produits de la pêche sont principalement destinés à la consommation locale. La zone constitue une zone de pâturage pour les v,,"Khathre a un potentiel touristique et pastoral, elle peut également constituée une zone de pêche périodique pendant la période d'eau.",,"Fixation des dunes, 
Curage de la mare
Mise en place de règles de gestion pour harmoniser entre les différents utilisateurs, 
Doter les services compétents et les populations organisées en moyen de surveillance des forêts environnantes,
Développer","(culture de décru et maraichage, surpâturage, utilisation excessif de l'eau, urbanisation, exploitation de la nappe phréatiques, coupes des arbres, élevage, braconnage, pêche, élagage et émondage, charbon de bois, sédentarisation, pêche) En pÃ","(Erosion, ensablement, dunes mobiles, destruction des habitats, perte de biodiversité, envasement…) La principale menace naturelle qui se pose pour la Zone humide de Khathre est l'ensablement et le ravinement. L'ensablement est constaté à l'Es",MED ould Elmami Maire de la commune de Tektak et président de l'AGLC et de la fétiaire de Guidimakha. 44857826/41667251 Benahi Ould El Mami 49450815,,1,2025-06-04 14:29:44.803851+00:00,2025-06-04 14:29:44.805034+00:00
2,IRIJI TEKTAK,,Guidimakha,TEKTAK,,,,,,Permanent (Cours d'eau tirant sa source des montagnes environnantes),,"Il y'a une production agricole qui s'est développée autour de Iriji Tektak. Il s'agit de production céréalière telle que le mil et de sorgho mais aussi de Henna, palmier dattier, palmier Doum, niébé ainsi que la production de légumes divers",,,,"Fourniture de clôture pour les agriculteurs afin de diminuer la pression sur les ressources ligneuses 
	Le site d'Iriji a un potentiel touristique qu'il est important de développer 
	Une unité de transformation des PFNL est encours de mise en pla","(culture de décru et maraichage, surpâturage, utilisation excessif de l'eau, urbanisation, exploitation de la nappe phréatiques, coupes des arbres, élevage, braconnage, pêche, élagage et émondage, charbon de bois, sédentarisation, pêche). La p","(Erosion, ensablement, dunes mobiles, destruction des habitats, perte de biodiversité, envasement…). Il y'a un risque d'ensablement du cours d'eau dû à l'amenuisement du couvert végétal le bordant et une accentuation de l'érosion.",MED ould Elmami Maire de la commune de Tektak et président de l'AGLC et de la fétiaire de Guidimakha. 44857826/41667251 Benahi Ould El Mami 49450815,,1,2025-06-04 14:29:44.803851+00:00,2025-06-04 14:29:44.805034+00:00
3,Wofou Kharé,,Guidimakha,Gouraye,,,,,,Juillet à Janvier (Novembre pendant les années de faible pluies,,"Jadis la mare permettait la riziculture cependant il subsiste actuellement une petite superficie rizicole avoisinant la mare. La mare permettait une pratique agricole pour les différents villages environnants, cette superficie s'est trouver réduite s",,,,"Mettre en place une unité de production piscicole et former la population locale dans ce domaine. La mise en place d'étangs piscicole permettrait aux populations de Diaguili jusqu'à Ghabou d'en profiter.
	Mettre en place des activités de reboi","(culture de décru et maraichage, surpâturage, utilisation excessif de l'eau, urbanisation, exploitation de la nappe phréatiques, coupes des arbres, élevage, braconnage, pêche, élagage et émondage, charbon de bois, sédentarisation, pêche). Séd","(Erosion, ensablement, dunes mobiles, destruction des habitats, perte de biodiversité, envasement…). Ensablement en amont de la mare et rupture de la connexion hydrique avec le fleuve qui permettait de recharger la mare.","Dodou Hamadi Soumaré, 46771738",,1,2025-06-04 14:29:44.803851+00:00,2025-06-04 14:29:44.805034+00:00
4,Golmi Khare,,Guidimakha,Diogountourou,,,,,,Juillet – Mai,,"Autour de la mare il s'y pratique une agriculture vivrière important notamment la culture d'arachide, de Bissap, Niébé, Sorgho en plus des cultures maraichères. La pêche est pratiquée dans la mare, les poissons peuvent être d'une taille cons",,,,"Valorisation du riz sauvage à travers la formation des populations locales et la mise en place d'une unité de transformation. 
	Appuyer la surveillance de la zone contre le braconnage et la coupe des arbres
	Mettre en place une activités d'enrich","(culture de décru et maraichage, surpâturage, utilisation excessif de l'eau, urbanisation, exploitation de la nappe phréatiques, coupes des arbres, élevage, braconnage, pêche, élagage et émondage, charbon de bois, sédentarisation, pêche)","(Erosion, ensablement, dunes mobiles, destruction des habitats, perte de biodiversité, envasement…). Aucune menace naturelle n'a été recueillit",,,1,2025-06-04 14:29:44.803851+00:00,2025-06-04 14:29:44.805034+00:00
5,Wompou Kharé,,Guidimakha,Wompou,,,,,,Permanent,,"L'agriculture de décru est une activité importante au niveau de la mare notamment la culture de Sorgho, Maïs et niébé ; il y a également le maraichage et l'arboriculture. La pêche est pratiquée principalement à partir du mois de février qu",,L'eau de la mare vient du fleuve ou également des ruissellements de l'eau de pluies ainsi que sa connexion avec d'autres mares.,,"Fournir des clôtures aux agriculteurs qui sont autour de la mare afin d'éviter la coupe de bois 
	Protéger la forêt se trouvant au Sud de la mare (entre la mare et le fleuve pour éviter la dégradation de la mare) voir la possibilité de la class","(culture de décru et maraichage, surpâturage, utilisation excessif de l'eau, urbanisation, exploitation de la nappe phréatiques, coupes des arbres, élevage, braconnage, pêche, élagage et émondage, charbon de bois, sédentarisation, pêche). La c","(Erosion, ensablement, dunes mobiles, destruction des habitats, perte de biodiversité, envasement…). Attaque de criquet pèlerin par moment",Hamidou BA Agriculteur et pécheur 46639480,,1,2025-06-04 14:29:44.803851+00:00,2025-06-04 14:29:44.805034+00:00
6,Warle (Sinthiane padalal),,Gorgol,Waly,,,,,,Permanent,,La pêche est une activité majeure qui se fait au niveau de la mare. La pêche est ouverte du mois de Mai ou Juin pour fermer en juillet (Début des pluies). Lors de la cérémonie d'ouverture les villages environnant participent tous à la pêche et,,,,Mise en place d'activités piscicole au bénéfice des populations car le niveau de l'eau a baissé dans la mare et ne permet pas une abondance du poisson. S'ajoute à cela la diminution du ruissèlement de l'eau provenant de Garfa et charriant,"(culture de décru et maraichage, surpâturage, utilisation excessif de l'eau, urbanisation, exploitation de la nappe phréatiques, coupes des arbres, élevage, braconnage, pêche, élagage et émondage, charbon de bois, sédentarisation, pêche). Les","(Erosion, ensablement, dunes mobiles, destruction des habitats, perte de biodiversité, envasement…). L'envasement de la mare la mare a était constaté par la population ainsi que la diminution des ressources halieutiques qui sont charriées par les","Abdoul Ba, chef de village 26781201",,1,2025-06-04 14:29:44.803851+00:00,2025-06-04 14:29:44.805034+00:00
7,Windou Yibame,,Grogol,Maghama,,,,,,Juin à mars,,"L'Agriculture est pratiquée autour de la zone humide de Yibame. Il s'agit principalement de cultures de sorgho, Maîs, niébé, et du maraichage. Les troupeaux s'abreuvent sur la mare de Yibame. En saison sèche les troupeaux de dromadaire y sont",,,,"surveillance accru, protection des forêts par la surveillance, Mise en place d'un mode de gestion.
	Appuyer la surveillance de la Mare pour la protection des forêts et la lutte contre le braconnage 
	Appuyer les agriculteurs pour la clôture des supe","(culture de décru et maraichage, surpâturage, utilisation excessive de l'eau, urbanisation exploitation de la nappe phréatique, coupe des arbres, élevage, braconnage, pêche, élagage et émondage, charbon de bois, sédentarisation, pêche) :  Les","(Erosion, ensablement, dunes mobiles, destruction des habitats, perte de biodiversité, envasement ……) Envasement, perte de la biodiversité",Correra Alassane,,1,2025-06-04 14:29:44.803851+00:00,2025-06-04 14:29:44.805034+00:00
8,Windou Mêye,,Grogol,Dolol,,,,,,Permanent (ne s'est asséché qu'une fois lors de la sècheresse des année 1972),,"La mare de Mêye longue de 4 à 5 km sur une largeur de 800 à 1000 m selon les saisons et la pluviométrie. La principale activité qui y est conduite, est la pêche. L'activité de pêche au niveau de la mare est régulée par un comité de gestion,",,"Mêye est une des plus importantes zones humides environ 20000 personnes ou plus profitent des poissons de la Mare. Ces personnes sont issues de tout la zone jusqu'à Maghama et Koundel, et au-delà de l'autre côté du Senegal (Richard toll, Bakelâ€",,"•	Appui aux surveillants (Association des pécheurs de Mêye) pirogues pour lutter contre la pêche illicite (des bottes, Gilet, torches puissante, chaussures de sécurités).
•	Appuyer la régularisation de l'association des pécheurs à travers l","(culture de décru et maraichage, surpâturage, utilisation excessive de l'eau, urbanisation exploitation de la nappe phréatique, coupe des arbres, élevage, braconnage, pêche, élagage et émondage, charbon de bois, sédentarisation, pêche) : 
Malg","(Erosion, ensablement dunes mobiles, destruction des habitats, perte biodiversité, envasement……)  
Aucun risque naturel n'est à déplorer.","Daouda 
Samba Sy membre bureau 
Samba Oumar Ba 47751048 maire adjoint 
Diam Samba Sy Président association des pécheurs 
Demba ly Adjoint président de l'association des pécheurs 47414690",,1,2025-06-04 14:29:44.803851+00:00,2025-06-04 14:29:44.805034+00:00
9,Gawradji,,Grogol,DAO,,,,,,permanant,,"La pêche est la principale activité. Elle est ouverte seulement de juin à juillet. Au moment de l'ouverture de la campagne qui dure deux jours, les pécheurs de toute la zone viennent y assister. 
	La culture de décru concerne le Sorgho, Niébé e",,,,"Les arbres autour et à l'intérieur de la Mare doivent être entretenus et le bois obtenu, exploité. 
	Appuyer les pêcheurs en pirogues supplémentaires, Frigidaire solaire, bottes, filets et gilets.  Les matériels à fournir doivent être validé","(culture de décru et maraichage, surpâturage, utilisation excessive de l'eau, urbanisation exploitation de la nappe phréatique, coupe des arbres, élevage, braconnage, pêche, élagage et émondage, charbon de bois, sédentarisation, pêche) : 
La c","(Erosion, ensablement, dunes mobiles, destruction des habitats, pertes de la biodiversité, envasement …) : 
Perte de biodiversité, les arbres sont vieillissants et tombent à cause des vents surtout vers la localité de Toumbé.","Demba Bayo Niang, Abibou Bayo Niang, Samba Abou Gueye, Amadou Saidou Sow, Brahim ould Mahmoud",,1,2025-06-04 14:29:44.803851+00:00,2025-06-04 14:29:44.805034+00:00
10,Délama,,Gorgol,Toufoundé civé,,,,,,permanant,,"L'élevages est pratiqué autour de la mare permettant aux animaux de s'y abreuver surtout en saison sèche. 
	 L'agriculture n''est pas pratiqué autour de la mare. 
	La pêche est une des principales activités réalisé dans la mare. Cette",,"L'OMVS a entamé un projet d'appui à la pisciculture pour les pécheurs locaux. Elle a ainsi réalisé des étangs piscicoles, fournit des congélateur, pirogues, Balance… Cependant le projet n'a pas abouti car le matériel a été dérobé fau",,"•	Appuyer la surveillance des forêts 
•	Appuyer les agriculteurs à travers l'aménagement d'une zone agricole et la fourniture de matériel d'irrigation. 
•	Approfondissement de la zone de reproduction du poisson qui se trouve au sud de Dé","(culture de décru et maraichage, surpâturage, utilisation excessive de l'eau, urbanisation exploitation de la nappe phréatique, coupe des arbres, élevage, braconnage, pêche, élagage et émondage, charbon de bois, sédentarisation, pêche) : 
Coup","(Erosion, ensablement, dunes mobiles, destruction des habitats, pertes de la biodiversité, envasement …):  envasement",Abdoulaye boubou Diaw ciné (président comité de gestion de la mare) 49850713,,1,2025-06-04 14:29:44.803851+00:00,2025-06-04 14:29:44.805034+00:00
